Dataset,Over Sample?,Biased Initialization?,Optimization,Baseline Test Accuracy,Baseline IR,Optimized Test Accuracy,Optimized IR,Reduction Rate %,Optimized Test Acc Diff
pima,regular_sample,rand,3Obj,0.7276041666666668,1.8656716417910448,0.7265625,1.2680887220292991,64.71354166666667,-0.0010416666666668295
segment0,regular_sample,rand,3Obj,0.9901213171577122,6.019526977087953,0.9854419410745235,2.4955877382780494,68.37088388214906,-0.004679376083188691
sonar,regular_sample,rand,3Obj,0.7711538461538461,1.1489795918367345,0.7211538461538461,1.6410062486533075,61.15384615384615,-0.04999999999999993
vehicle0,regular_sample,rand,3Obj,0.9334905660377357,3.2599090909090913,0.9132075471698112,1.6081518162796395,60.40189125295508,-0.020283018867924496
yeast1,regular_sample,rand,3Obj,0.7433962264150944,2.4592262551619215,0.7374663072776281,1.3606839722302075,62.22371967654986,-0.005929919137466322
australian,regular_sample,rand,MinMajAcc,0.8439306358381502,1.2490450725744844,0.8416184971098266,1.2806092016401516,51.01449275362319,-0.0023121387283235872
bupa,regular_sample,rand,MinMajAcc,0.5712643678160919,1.3888888888888888,0.6126436781609195,1.2399472860602327,53.37209302325582,0.04137931034482756
glass1,regular_sample,rand,MinMajAcc,0.7574074074074074,1.815789473684211,0.7518518518518519,1.7422609554188502,48.598130841121495,-0.005555555555555536
magic,regular_sample,rand,MinMajAcc,0.8311461619348055,1.8438995215311003,0.8296740273396426,1.7923032277858149,49.83596214511041,-0.0014721345951629328
phoneme,regular_sample,rand,MinMajAcc,0.8589933382679498,2.407313997477932,0.8472242783123611,2.3388951313783077,49.037749814951894,-0.011769059955588634
pima,regular_sample,rand,MinMajAcc,0.7338541666666666,1.8656716417910448,0.7369791666666666,1.8542814781869286,51.953125,0.0031250000000000444
segment0,regular_sample,rand,MinMajAcc,0.9894280762564989,6.0109977827050995,0.9908145580589254,6.391751927706521,50.40727902946274,0.001386481802426509
sonar,regular_sample,rand,MinMajAcc,0.7788461538461539,1.1534013605442177,0.7365384615384615,1.133079825166782,52.59615384615385,-0.04230769230769238
vehicle0,regular_sample,rand,MinMajAcc,0.9330188679245284,3.2684545454545457,0.9254716981132074,3.2009715103667182,49.716312056737586,-0.007547169811320975
yeast1,regular_sample,rand,MinMajAcc,0.7423180592991914,2.459226255161921,0.7469002695417789,2.5568656753711574,50.242587601078164,0.004582210242587537
