Dataset,Over Sample?,Biased Initialization?,Optimization,Baseline Test Accuracy,Baseline IR,Optimized Test Accuracy,Optimized IR,Reduction Rate %,Optimized Test Acc Diff
australian,regular_sample,rand,MinMajAcc,0.84393063583815,1.24904507257448,0.959883720930233,1.2177062436285,51.25,0.115953085092082
bupa,regular_sample,rand,MinMajAcc,0.571264367816092,1.38888888888889,0.948837209302326,1.36750097095997,51.57,0.377572841486234
glass1,regular_sample,rand,MinMajAcc,0.757407407407407,1.81578947368421,0.945283018867924,1.44059078176725,53.18,0.187875611460517
magic,regular_sample,rand,MinMajAcc,0.831146161934806,1.8438995215311,0.871545741324921,1.71719782259393,49.68,0.0403995793901156
phoneme,regular_sample,rand,MinMajAcc,0.85899333826795,2.40731399747793,0.916728349370837,2.14636546745824,49.22,0.0577350111028867
pima,regular_sample,rand,MinMajAcc,0.733854166666667,1.86567164179104,0.9046875,1.58326092419411,52.66,0.170833333333333
segment0,regular_sample,rand,MinMajAcc,0.989428076256499,6.0109977827051,0.99844020797227,6.39175192770652,50.41,0.00901213171577142
sonar,regular_sample,rand,MinMajAcc,0.778846153846154,1.15340136054422,0.990384615384615,1.14516574649183,51.73,0.211538461538461
vehicle0,regular_sample,rand,MinMajAcc,0.933018867924528,3.26845454545455,0.989099526066351,3.14235136505985,49.27,0.0560806581418223
yeast1,regular_sample,rand,MinMajAcc,0.742318059299191,2.45922625516192,0.890296495956873,2.11721688422816,51.36,N/a
phoneme,N/a,N/a,IB3,N/a,N/a,0.7035,N/a,15.33,N/a
phoneme,N/a,N/a,DROP3,N/a,N/a,0.7733,N/a,19.83,N/a
phoneme,N/a,N/a,ICF,N/a,N/a,0.7378,N/a,12.29,N/a
phoneme,N/a,N/a,GA_CHC,N/a,N/a,0.7439,N/a,31.42,N/a
phoneme,N/a,N/a,CCIS,N/a,N/a,0.7376,N/a,32.93,N/a
phoneme,N/a,N/a,GBA,N/a,N/a,0.8283,N/a,12.29,N/a
phoneme,N/a,N/a,1_NN,N/a,N/a,0.9048,N/a,N/a,N/a
pima,N/a,N/a,IB3,N/a,N/a,0.6118,N/a,17.89,N/a
pima,N/a,N/a,DROP3,N/a,N/a,0.6737,N/a,25.52,N/a
pima,N/a,N/a,ICF,N/a,N/a,0.6513,N/a,14.06,N/a
pima,N/a,N/a,GA_CHC,N/a,N/a,0.6408,N/a,10.30,N/a
pima,N/a,N/a,CCIS,N/a,N/a,0.6961,N/a,1.73,N/a
pima,N/a,N/a,GBA,N/a,N/a,0.6927,N/a,1.73,N/a
pima,N/a,N/a,1_NN,N/a,N/a,0.6987,N/a,N/a,N/a
magic,N/a,N/a,standard,N/a,N/a,0.8427,N/a,N/a,N/a
magic,N/a,N/a,stratified,N/a,N/a,0.8477,N/a,N/a,N/a
magic,N/a,N/a,balanced,N/a,N/a,0.8492,N/a,N/a,N/a
phoneme,N/a,N/a,standard,N/a,N/a,0.8352,N/a,N/a,N/a
phoneme,N/a,N/a,stratified,N/a,N/a,0.8323,N/a,N/a,N/a
phoneme,N/a,N/a,balanced,N/a,N/a,0.8312,N/a,N/a,N/a
magic,N/a,N/a,LRIS_KNN,N/a,N/a,0.8192,N/a,N/a,N/a
magic,N/a,N/a,EGA,N/a,N/a,N/a,N/a,N/a,N/a
magic,N/a,N/a,MOCHC,N/a,N/a,N/a,N/a,N/a,N/a
